Addrcity,Addrfull,Amenity,Building,Capacitype,Name,Operatorty,Osm Id,School Level,Source,Geometry
Mannya Kawunguli,,school,,,Little Birds Primary School,,4030731290,Primary,www.ubos.org,Point
Mannya Kawunguli,,school,,,Saint Bernard Mannya Secondary School,,4030731307,Secondary,www.ubos.org,Point
Mannya Kawunguli,,school,,,Saint Nicholas Mannya Primary School,,4030731310,Primary,www.ubos.org,Point
Manwoko South,,school,,,Akworo Secondary School,,4027482933,Secondary,www.ubos.org,Point
Manyama,,school,,,Kalangala Orphanage Centre,,4027532181,Other,www.ubos.org,Point
Manyama,,school,,,Medol Juniour School,,4029231620,Other,www.ubos.org,Point
Manyama,,school,,,Saint Francis of Assisi Nursery and Primary School,,4027538458,Primary,www.ubos.org,Point
Manyamye West,,school,,,Manyamye Primary School,,4034616852,Primary,www.ubos.org,Point
Manyogaseka,,school,,,Busirimu Primary School,,3969608046,Primary,www.ubos.org,Point
Manyogaseka,,school,,,Manyogaseka Primary School,,4033882380,Primary,www.ubos.org,Point
Manyogaseka,,school,,,Manyogaseka Quoran Primary School,,4033882381,Primary,www.ubos.org,Point
Manzi,,school,,,,,4010829728,Other,www.ubos.org,Point
Manzi,,school,,,School,,4010829729,Other,www.ubos.org,Point
Marama Upper,,school,,,Marama Primary School,,4011832416,Primary,www.ubos.org,Point
Marare,,school,,,Muhuwa Primary School,,3978264279,Primary,www.ubos.org,Point
Marinde,,school,,,Engaju Academy,,4029610375,Other,www.ubos.org,Point
Marinde II,,school,,,Kajumbura Primary School,,4029610382,Primary,www.ubos.org,Point
Marinde II,,school,,,Three Friends Primary School,,4029610413,Primary,www.ubos.org,Point
Maringu East,,school,,,Lefori Primary School,,3978521600,Primary,www.ubos.org,Point
Marize,,school,,,Marize primary school,,4011994079,Other,www.ubos.org,Point
Market,,school,,,Nsaanza Memorial Primary School,,4023551491,Primary,www.ubos.org,Point
Market Cell,,school,,,Lion's Club Nursery School,,3998796505,Kindergarten,www.ubos.org,Point
Market Cell,,school,,,Masaka Primary School,,3998796517,Primary,www.ubos.org,Point
Marumba A,,school,,,Bright Star Primary School,,4027407493,Primary,www.ubos.org,Point
Masaaba Central,,school,,,Saint Mathias Mulumba Primary School,,4013871362,Primary,www.ubos.org,Point
Masaba,,school,,,Masaba College Secondary School,,3997934836,Secondary,www.ubos.org,Point
Masaba I,,school,,,Musaba Bright Academy,,3969611681,Other,www.ubos.org,Point
Masaba II,,school,,,Musaba Primary School,,3969611682,Primary,www.ubos.org,Point
Masaka,,school,,,Bwizibwera Primary School,,3981753234,Primary,www.ubos.org,Point
Masaka,,school,,,Saint Mary's Primary School,,4030868195,Primary,www.ubos.org,Point
Masaka B,,school,,,Saint Charles Lwanga Primary School,,4013480331,Primary,www.ubos.org,Point
Masaka S.s.s,,school,,,Masaka Senior Secondary School,,3998796519,Secondary,www.ubos.org,Point
Masakhanu,,school,,,Masakhanu Primary School,,3995884507,Primary,www.ubos.org,Point
Masaloa East,,school,,,Masaloa Primary School,,3978521602,Primary,www.ubos.org,Point
Masambila-bukundugulu Lci,,school,,,Masambila Nursery School,,4032724137,Kindergarten,www.ubos.org,Point
Masanghe,,school,,,Budumba Parents Secondary School,,4034616812,Secondary,www.ubos.org,Point
Masanghe,,school,,,Masanghe Primary School,,4034616853,Primary,www.ubos.org,Point
Masembe,,school,,,Hope Christian High School,,4035783811,Secondary,www.ubos.org,Point
Masembe,,school,,,Namusaala Church of Uganda Primary School,,4035783844,Primary,www.ubos.org,Point
Masembe,,school,,,Namusaala Primary School,,4035783845,Primary,www.ubos.org,Point
Masenge,,school,,,Nyamarwa Primary School,,4029681001,Primary,www.ubos.org,Point
Masenge,,school,,,Nyamarwa Secondary School,,4029681002,Secondary,www.ubos.org,Point
Maseruka A,,school,,,Saint Samaria Junior Primary School,,4037348432,Primary,www.ubos.org,Point
Maseruka B,,school,,,Kinoni Primary School,,4037348421,Primary,www.ubos.org,Point
Maseruka B,,school,,,Samaria High School,,4037348433,Secondary,www.ubos.org,Point
Masese,,school,,,Primary School,,4010630531,Primary,www.ubos.org,Point
Masese I,,school,,,Glory Primary School,,4040066173,Primary,www.ubos.org,Point
Masese I,,school,,,Lake Side Primary School,,4040066177,Primary,www.ubos.org,Point
Masese I,,school,,,Masese Girls Boarding Secondary School,,4040066180,Secondary,www.ubos.org,Point
Masese II,,school,,,Masese Community Centre Primary School,,4069198221,Primary,www.ubos.org,Point
Masese/Walukuba Division,,school,,,Day star Nursery and Preschool,,4039853799,Kindergarten,www.ubos.org,Point
Mashaga B,,school,,,Best Sider Primary School,,4015797337,Primary,www.ubos.org,Point
Mashenga,,school,,,Nyakatare Technical School,,4023671362,Other,www.ubos.org,Point
Masiko-mbuule Lci,,school,,,Masiko Primary School,,4032723465,Primary,www.ubos.org,Point
Masiko-mbuule Lci,,school,,,Masiko Primary School,,4032723466,Primary,www.ubos.org,Point
Masiko-mbuule Lci,,school,,,Mbuule Primary School,,4032723468,Primary,www.ubos.org,Point
Masita,,school,,,Masita Primary School,,4029554792,Primary,www.ubos.org,Point
Masonde,,school,,,Kakumiro Public School,,4028219267,Other,www.ubos.org,Point
Masongora,,school,,,Masongora Primary School,,4023653300,Primary,www.ubos.org,Point
Masooli,,school,,,Emen Primary School,,4030899386,Primary,www.ubos.org,Point
Master Cell,,school,,,Lisa Junior School,,4033923333,Secondary,www.ubos.org,Point
Masugu,,school,,,Masungu Primary School,,4000184890,Primary,www.ubos.org,Point
Masule B,,school,,,Masule Primary School,,4027378747,Primary,www.ubos.org,Point
Masule II,,school,,,Masule II Millenium Nursery School,,4037410423,Kindergarten,www.ubos.org,Point
Masule III,,school,,,Masule Primary School,,4037410424,Primary,www.ubos.org,Point
Masulula,,school,,,Bugombe Primary School,,3995629942,Primary,www.ubos.org,Point
Matailong,,school,,,Matailong Primary School,,4010857023,Primary,www.ubos.org,Point
Mataisa,,school,,,Mataisa Primary School,,3981878179,Primary,www.ubos.org,Point
Matakara,,school,,,Rukore Primary School,,4021437347,Primary,www.ubos.org,Point
Matale,,school,,,Bishop Nkoyoyo Primary School,,4013868130,Primary,www.ubos.org,Point
Matale,,school,,,Bishop Nkoyoyo Secondary School,,4013868131,Secondary,www.ubos.org,Point
Matale-kalagala,,school,,,All Saints Primary School,,4027532141,Primary,www.ubos.org,Point
Matale-kalagala,,school,,,Stanthony Primary School,,4027538449,Primary,www.ubos.org,Point
Matale-kinaawa,,school,,,Standrews Matale Primary School,,4027538447,Primary,www.ubos.org,Point
Matale-kinaawa,,school,,,Standrews Secondary School,,4027538448,Secondary,www.ubos.org,Point
Matanda,,school,,,Matanda Primary School,,4029087145,Primary,www.ubos.org,Point
Mataya,,school,,,Bamasaba Nursery and Primary School,,3998838062,Primary,www.ubos.org,Point
Mateete West B,,school,,,Saint Kizito Vocation Secondary School,,4034059190,Secondary,www.ubos.org,Point
Matembe,,school,,,Matembe College,,4027366449,Other,www.ubos.org,Point
Matengeto,,school,,,Matengeeto Parents Primary School,,4027395124,Primary,www.ubos.org,Point
Matengeto,,school,,,Matengeto Primary School,,4027395125,Primary,www.ubos.org,Point
Maternity,,school,,,Baroma Institution,,4057359507,Other,www.ubos.org,Point
Maternity,,school,,,Bishop Senior Secondary School,,4057359509,Secondary,www.ubos.org,Point
Mathurumbe,,school,,,,,3999164382,Other,www.ubos.org,Point
Matiika A,,school,,,Miseni Primary School,,4025307878,Primary,www.ubos.org,Point
