Id,County,Code,Conventional Households,Main Electricity,Low-Quality Stopgap Total,Kerosene (Total),Paraffin Pressure Lamp,Paraffin Lantern,Paraffin Tin Lamp,Gas Lamp,Wood,Solar (Total),Solar,Torch / Spotlight (Solar-Charged),Torch / Spotlight (Dry Cells)),Candle,Battery (Car-Charged),Generator (Diesel / Petrol),Biogas,Not Stated,Cooking - Electricity,Cooking - Paraffin,Cooking - Gas (LPG),Cooking - Biogas,Cooking - Firewood,Cooking - Charcoal,Cooking - Solar,Cooking - Not Stated,Total Births - 5 Years,Total Births - 12 Months,Percent of Births in Health Facility - 5 Years,Percent of Births in Health Facility - 12 Months,Percent of Births in Non Health Facility - 5 Year,Percent of Births in Non Health Facility - 12 Months,Unknown - 5 Years,Unknown - 12 Months,,Total Households,Farming,Crop Production,Livestock Production,Aquaculture,Fishing,Irrigation,Earth/Sand - Floor Material,Dung - Floor Material,Wood Planks/Shingles/Timber - Floor Material,Palm/Bamboo - Floor Material,Parquet or Polished Wood - Floor Material,Vinyl or Asphalt Strips - Floor Material,Ceramic Tiles - Floor Material,Concrete/Cement/Terrazo - Floor Material,Wall to Wall Carpet - Floor Material,Cane/Palm/Trunks - Wall Material,Grass/Reeds - Wall Material,Mud/Cow Dung - Wall Material,Stone with Mud - Wall Material,Covered Adobe - Wall Material,Uncovered Adobe - Wall Material,Plywood/Cardboard - Wall Material,Off Cuts/Reused Wood/Wood Planks - Wall Material,Iron Sheets - Wall Material,Concrete/Concrete Blocks/Precast Wall - Wall Material,Stone with Lime/Cement - Wall Material,Bricks - Wall Material,Canvas/Tents - Wall Material,Nylon/Cartons - Wall Material,Timber - Wall Material,Prefabricated Panels - Wall Material,Grass/Twigs - Roofing,Makuti Thatch - Roofing,Dung /Mud - Roofing,Iron Sheets - Roofing,Tin Cans - Roofing,Asbestos Sheet - Roofing,Concrete/Cement - Roofing,Tiles - Roofing,Canvas/ Tents - Roofing,Decra/Versatile - Roofing,Cartons/Cardboard - Roofing,Shingles - Roofing,Radio,Computer/Tablet,Functional TV,Analogue TV,Internet ,Bicycle,Motorcycle ,Refrigerator,Car,Truck,Tuk Tuk,Phone Ownership,,Households,Main Sewer - Human Waste Disposal,Septic Tank - Human Waste Disposal,Cesspool - Human Waste Disposal,VIP Latrine - Human Waste Disposal,Pit Latrine Covered - Human Waste Disposal,Pit Latrine Uncovered - Human Waste Disposal,Bucket Latrine - Human Waste Disposal,Open/ Bush - Human Waste Disposal,Bio-Septic Tank/Biodigester - Human Waste Disposal,Pond - Drinking Water Source,Dam/Lake - Drinking Water Source,Stream/River - Drinking Water Source,Protected Spring - Drinking Water Source,Unprotected Spring - Drinking Water Source,Protected Well - Drinking Water Source,Unprotected Well - Drinking Water Source,Borehole/Tube Well - Drinking Water Source,Piped into Dwelling - Drinking Water Source,Piped to Yard/Plot - Drinking Water Source,Bottled Water - Drinking Water Source,Rain/Harvested Water - Drinking Water Source,Water Vendor - Drinking Water Source,Public Tap/Standpipe - Drinking Water Source,Total Farming,Exotic Cattle Dairy - Livestock & Fish,Exotic Cattle Beef - Livestock & Fish,Indigenous Cattle - Livestock & Fish,Sheep - Livestock & Fish,Goats - Livestock & Fish,Camels - Livestock & Fish,Donkeys - Livestock & Fish,Pigs - Livestock & Fish,Indigenous Chicken - Livestock & Fish,Exotic Chicken - Livestock & Fish,Beehives - Livestock & Fish,Rabbits - Livestock & Fish,Fish Ponds - Livestock & Fish,Fish Cages - Livestock & Fish,Tea - Permanent Crop Growth,Coffee - Permanent Crop Growth,Avocado - Permanent Crop Growth,Citrus - Permanent Crop Growth,Mango - Permanent Crop Growth,Coconut - Permanent Crop Growth,Macadamia Cashew Nut - Permanent Crop Growth,Khat (Miraa) - Permanent Crop Growth,,Total Disability Percent,Visual Disability Total,Hearing Disability Total,Mobility Disability Total,Cognitive Disability Total,Self-Care Disability Total,Communication Disability Total,Total Population (SPECIFIC TO EMPLOYMENT),Working,Seeking Work,Outside the Labor Force,Not Stated,Average Household Size,Under 18,Over 60,Over 70,Total Population,Under 18 Percent,Over 60 Percent,Over 70 Percent
31,Laikipia,LKP,145776,42.2,26.1,17.8,0.3,8.4,9.1,0.1,3.8,31.7,26.4,5.3,2.3,1.2,0.7,0.2,0,0,0.4,2.3,21.2,0.3,58,17.7,0.1,0,50465,15383,77.8,76.8,22.1,23.1,0.1,0.1,,149271,60.8,49.8,45.7,0.3,0.3,6.1,49.9,3,0.5,0,0.2,0.1,4.8,39.8,1.7,0.4,0.2,19.7,1,0.3,0.1,0.8,8.3,9.3,11.9,14.4,1.4,0,0.5,31.7,0,5.4,0.2,1.4,86.4,0.2,1.1,2.5,0.5,0.1,0.3,1.9,0,63.3,6.9,44.4,4.7,17.5,21.1,13.3,5.2,6.4,0.9,0.4,51.5,,149271,8.9,5.2,0.1,12,55.8,8.3,0.2,9.4,0.1,0.8,5.7,20.8,1.2,1.7,8.7,2.7,10.3,12.5,19.7,0.4,5.8,3,6.5,90729,25846,14935,229284,613782,402526,7827,8967,2685,506808,44016,18901,10218,1949,59,0,0,5273,2121,2103,0,773,0,,2.350050719,2762,1139,3663,2076,1434,1112,283193,79.12413089,7.386128894,13.47879361,0.010946598,3.4,231486,32330,14220,518542,44.64170694,6.234789082,2.742304384
32,Nakuru,NKU,598237,64.4,14.6,10.4,0.2,5.8,4.4,0.1,0.4,21,14.5,6.5,1.2,1.8,0.7,0,0,0,0.6,5.4,30,0.4,39.6,23.9,0.1,0,224180,64797,85.8,88.4,14.2,11.5,0.1,0.1,,616046,46,42.4,31.1,0.1,0.4,1.3,27.9,7.7,0.3,0,0.2,0.2,10.6,51.4,1.7,0.1,0.1,24.6,2.4,1.3,0.2,0.4,2.8,6.4,17.9,32.5,2.6,0,0.1,8.5,0,1.8,0.1,0.3,91.1,0.1,1.6,2.9,0.9,0.1,0.4,0.7,0.1,61.1,9.6,52.5,5.7,20.9,19.1,10.9,8.9,7.1,1,0.4,52.7,,616046,7.7,10.1,0.2,17.8,53.2,9.4,0.5,0.8,0.1,0.3,1.3,12,1.4,1.6,6.7,1,10.4,9.4,18.1,3.6,13.4,12.3,8.6,283652,135235,23774,237517,532221,205392,388,22792,16895,1539144,329912,34141,35368,2065,262,10041,0,20209,4332,6560,0,0,0,,2.177783061,12425,4256,14270,6947,5110,4078,1182503,74.88708274,7.869916609,17.22456518,0.018435471,3.5,964769,97110,40443,2162107,44.62170466,4.491452088,1.870536472
33,Narok,NRK,238115,19.7,22.5,9.9,0.2,4.1,5.6,0.2,5.5,57.8,37.7,20.1,4.5,1.4,0.9,0.1,0,0,0.5,1,8.2,0.5,71.7,17.7,0.4,0,128449,40643,58.2,60.7,41.4,39,0.4,0.3,,241125,75.4,62.4,62.4,0.3,0.4,2.9,46.3,28.1,0.3,0.1,0.2,0.1,3.2,20.8,0.9,0.4,0.7,60.7,1.9,0.8,0.1,0.7,1.9,7.6,6.4,6.5,2,0.1,0.2,9.8,0,14.6,0.6,6.3,74.7,0.2,0.8,0.4,0.1,0.4,0.1,1.7,0,59,2.7,19.3,1.8,6.9,3.7,10.7,1.9,3.5,0.6,0.5,34.3,,241125,0.5,2.1,0.1,8.6,49.2,10.6,0.6,28.2,0.1,5.6,7.2,41.3,5.6,6.4,4.3,2.9,4.5,1.5,3.1,1.7,5.6,6.3,3.8,181706,93562,89203,1306126,2603542,1015845,1619,81932,2054,878467,50387,49857,3679,2019,399,0,0,13430,1784,2332,0,0,0,,1.08339012,2744,1822,3554,1543,1543,1338,502660,80.0831576,4.512791947,15.3779891,0.026061354,4.8,647524,36967,15113,1157847,55.9248329,3.192736173,1.305267449
34,Kajiado,KAJ,313218,67.4,13.5,9.2,0.3,3.9,5,0.1,1,19.1,15.5,3.6,1.4,1.7,0.1,0,0,0,1.2,12.7,47.2,0.7,29,9.1,0.2,0,127020,36244,79,78.6,20.7,21.2,0.2,0.2,,316179,30.9,14.5,26,0.1,0.2,3.9,21.7,1.2,0.3,0.1,0.3,0.2,18.8,56,1.4,0.4,0.5,12.1,1.3,0.9,0.2,0.9,0.7,32.4,22.4,21.4,3.3,0.1,0.5,2.9,0,6.1,0.2,3.4,69.4,0.2,2,13.9,2.1,0.1,1.2,1.3,0,55,14.6,51.7,5.6,29.1,11.9,9.7,15.8,10.9,1.2,0.5,54.6,,316179,2.8,21.3,0.4,14,41.2,5.5,0.6,13.6,0.4,0.5,2.9,5.2,2,0.8,2,0.8,22.3,7.9,10.1,11.9,1.6,23.3,8.6,97565,36547,56696,484467,1120649,877744,3584,50153,12390,493473,174525,8850,9100,3701,223,0,0,2994,0,2776,0,0,0,,1.285648084,4009,1706,3571,1764,1658,1663,616347,69.05704092,12.67516513,18.22934159,0.038452365,3.5,494149,32944,12416,1117802,44.20720306,2.947212476,1.110751278
35,Kericho,KCO,205932,44.9,16.4,12.4,0.2,5.9,6.3,0.1,0.3,38.7,20.9,17.8,1.5,1.4,0.5,0,0,0,0.7,1.4,9.5,0.3,79,8.9,0.1,0,89107,24383,80.7,85.4,19.2,14.5,0.1,0,,206036,73.2,70.8,54.7,0.2,0.3,1.2,16.8,37.3,0.4,0,0.2,0.1,4.7,39.2,1.4,0,0.1,40.6,1.6,1.1,0.2,0.4,3.1,8.8,9.9,5.1,13,0,0,16,0,2.2,0.1,0.5,94.5,0.1,0.9,0.9,0.2,0,0.3,0.1,0,60.3,4.7,29.3,2.9,11.1,4.5,8.4,3,4.9,0.7,0.3,42.2,,206036,1.7,2.6,0.1,10,69.8,13.7,0.4,1.5,0.1,0.8,0.9,42.3,7.4,5,6.2,2,4,9.1,10.1,0.2,3.9,2.1,5.8,150845,80670,5430,155548,56238,71875,11940,794,577529,87531,20163,3843,3673,191,0,55837,24774,40748,2283,5588,0,0,0,,1.402607599,2300,1433,3722,1861,1865,1467,474170,79.96035177,4.515258241,15.49381024,0.03057975,4.4,423344,44253,18132,901749,46.94698857,4.907463163,2.010759091
36,Bomet,BMT,187230,22.1,14.3,8.3,0.2,4.9,3.2,0.1,0.8,63.6,33.5,30.1,2.7,0.8,1.5,0,0,0,0.3,0.8,5.9,0.2,88.4,4.1,0.2,0,86865,24647,81.3,86.4,18.6,13.5,0.1,0.1,,187641,81.3,78,67.9,0.2,0.5,1.1,22.7,41.2,0.2,0,0.1,0,3.7,30.6,1.5,0,0.1,51.5,1.5,0.5,0.1,0.5,2.5,1.3,6.4,3.9,8.7,0.1,0.1,22.9,0,6.8,0.2,0.6,90.5,0.1,0.6,0.7,0.2,0,0.1,0.1,0,62.1,3.3,18.5,2,8,5.5,12,1.4,3.7,0.5,0.3,40.9,,187641,0.3,1.2,0.1,6.7,77.5,13,0.2,1,0.1,7.7,4.2,40.1,5.8,5.4,2.4,1.8,2,5,5.7,0.3,13.8,1.5,4.3,152564,99188,7342,211679,80492,76459,10985,306,816840,87282,12917,5940,3126,2064,0,50704,1940,44903,3298,3679,0,0,0,,1.529692828,2334,1610,3931,1962,2007,1551,437250,80.27375643,3.640251572,16.07478559,0.011206404,4.7,436193,41999,18626,875666,49.81271398,4.796235094,2.127066713
37,Kakamega,KAK,432284,25.1,32,29.6,0.3,8.8,20.5,0.1,0.4,42.9,36.7,6.2,0.3,0.8,0.6,0,0,0,0.5,2.4,7.4,0.3,80.8,8.2,0.3,0,167691,49974,85.9,90.6,14,9.3,0.1,0.1,,433207,77.4,74.3,54.3,0.5,0.7,1.1,16.2,55.3,0.1,0,0.1,0,3.5,24.2,0.6,0,0.1,71.7,3.2,1.8,0.3,0,0,0.9,8.9,3.5,9.4,0,0,0.1,0,3.7,0.1,1.1,93.3,0.1,0.8,0.4,0.1,0,0.2,0.1,0,62,4.3,29.2,4.3,8.6,24.4,11.5,3.3,3.3,0.6,0.4,40.9,,433207,0.8,2.4,0.1,12.3,73.4,9.5,0.4,1.1,0,0.9,0.3,18.3,34.6,5.1,16.1,2,10.1,3.1,3.7,0.2,0.7,1,3.8,335269,69173,11322,322955,56884,78144,1080,28634,1415652,102673,43620,15986,9361,2323,0,4644,2990,63886,4435,49075,0,2292,0,,3.663698589,17706,8507,19273,11357,5752,5826,919868,76.54206908,5.246839764,18.18260881,0.028482347,4.3,943366,117533,47103,1867539,50.51385808,6.293469641,2.522196324
38,Vihiga,VHG,143288,38.4,38.4,37.2,0.3,8.7,28.2,0,0.2,23.2,20,3.2,0.3,0.5,0.2,0,0,0,0.4,2.4,7.1,0.3,83.8,5.9,0.1,0,47044,14329,87.5,92.3,12.4,7.6,0.1,0,,143365,79.3,75.7,58.7,0.3,0.4,1.1,17.1,50.7,0.1,0,0,0,3.8,27.5,0.6,0.1,0.1,70.4,2.7,3.2,0.3,0,0,0.6,9.3,3.3,10,0,0,0.1,0,0.2,0.1,0.9,97.4,0.1,0.4,0.4,0.2,0,0.2,0.1,0,61.6,4.3,31.2,4.2,8.8,11.5,7.8,3.6,3,0.5,0.3,43.1,,143365,0.3,1.3,0.1,18.4,70.1,9.1,0.2,0.6,0,0.6,0.3,24.8,53.1,4.4,3.6,0.7,2.1,1.5,2.8,0.3,3.3,1,1.6,113753,23067,1725,101826,6145,30854,77,4628,477073,27284,13277,9533,3330,281,0,11273,1717,34321,1233,26209,0,0,0,,5.005584736,6933,3187,9630,5139,2599,2045,309013,78.71966552,4.831835554,16.42681699,0.021681936,4.1,278839,57991,25697,590001,47.26076735,9.828966392,4.355416347
39,Bungoma,BGM,357714,21.6,33.8,30.3,0.4,11.4,18.5,0.2,0.9,44.6,36.4,8.2,0.6,1.1,0.7,0,0,0,0.4,2.6,7.2,0.4,78.3,11,0.2,0,159661,47722,83.1,88.9,16.7,11,0.2,0.1,,358796,78.2,75.2,55,0.4,0.5,1.8,23.4,43.9,0.2,0,0.1,0.1,4,27.4,0.9,0.1,0.2,59.5,10.7,3.1,0.9,0,0.1,0.9,7.1,3.5,13.7,0,0,0.2,0,2,0.1,1.2,94.8,0.1,0.9,0.4,0.2,0,0.2,0.1,0,62.1,4.1,25.4,3.6,7.2,26.2,11.9,2.8,3.1,0.6,0.4,36.8,,358796,1,2.8,0.2,10.9,68.6,14.7,0.5,1.4,0.1,0.8,0.2,9.2,38.3,4.8,15.7,2.7,11.6,3.7,4.8,0.2,0.5,1.7,5.7,280445,62009,9822,279428,78494,109693,6058,15930,1191092,73189,28328,12911,6169,559,0,2047,37773,73765,5268,54581,0,2428,0,,2.405576657,10585,5457,10582,6203,3575,3784,783082,75.56539417,5.045193224,19.37881346,0.010599145,4.6,882499,83162,34529,1670535,52.82732777,4.978165677,2.066942626
40,Busia,BSA,197944,26.1,30.1,27.3,0.3,8.7,18.3,0.1,0.4,43.8,37.9,5.9,0.5,1.4,0.3,0,0,0,0.5,1.5,6,0.4,73.4,18,0.2,0,83649,25597,84.7,89.8,15.3,10.2,0.1,0.1,,198152,74.8,71,53.1,0.3,3.1,1.5,15,46.3,0.1,0,0.1,0.1,4.5,33.3,0.5,0.1,0.2,60.8,4,3.3,0.7,0,0.1,0.9,7.9,5.1,16.7,0,0,0.1,0,10.8,0.2,0.5,86.6,0.1,0.8,0.5,0.1,0,0.2,0.1,0,54.5,3.7,27.2,3.8,7.4,34.3,11.8,3.7,2.9,0.6,0.3,38.4,,198152,0.6,2.2,0.2,11.1,68,14.9,0.4,2.5,0.1,0.8,3.4,11.8,17.2,4.6,15.9,3.4,28.6,1.8,3.3,0.5,0.7,2.1,5.8,148257,11740,4673,190215,21704,82303,233,57004,731624,31032,13990,4796,5171,2362,0,0,1498,27498,3616,35530,0,1148,0,,3.288636641,7290,3806,8463,4716,2608,2506,432176,76.57829218,5.026193032,18.38186294,0.013651846,4.5,455737,51345,21661,893653,50.99708724,5.745518674,2.423871458
41,Siaya,SYA,249341,19.7,26.7,24,0.2,6.7,17.1,0.1,0.2,53.6,50.8,2.8,0.4,1.4,0.5,0,0,0,0.3,2,6,0.3,72.4,18.8,0.2,0,92926,28260,91.6,94.5,8.4,5.4,0,0,,250698,77.5,73.8,51.5,0.3,5.1,1.8,20.4,34.4,0.1,0,0.1,0.1,4.8,39.2,0.9,0,0.1,57.6,3.8,5.9,0.8,0,0,1.7,13,8.2,8.5,0,0,0.1,0,4.4,0.2,0.4,92.9,0.1,0.8,0.4,0.2,0,0.4,0.1,0,65.5,4.2,28.3,3.8,8.3,32.7,11.8,4,2.9,0.6,0.4,44.1,,250698,0.3,1.4,0.1,10.8,68.9,12,0.3,6,0,3.1,13.2,19.9,11.5,3.2,5,1.5,12.9,1.7,3.4,0.4,7.2,4,13,194362,10324,4527,311330,133110,163222,5987,14175,917012,42160,27786,5414,4867,3901,0,0,0,31729,7350,44660,0,1262,0,,5.127144029,14005,6861,14749,7945,4025,3336,503107,79.39384664,4.341024871,16.22338787,0.041740624,3.9,487505,76398,33493,993165,49.08600283,7.6923774,3.372350012
42,Kisumu,KIS,296846,52.6,19.6,18,0.3,5.2,12.5,0.1,0.2,27.8,26.2,1.6,0.2,1.1,0.1,0,0,0,0.9,7.8,18.7,0.6,49.6,22.2,0.2,0,114833,34078,92.1,94.5,7.8,5.5,0,0,,300745,48.9,44.4,33,0.3,2,3.2,22.6,19.2,0.1,0,0.1,0.1,11.3,44.5,1.9,0,0.1,43.3,6.2,3.5,0.5,0.2,0.1,8.1,18.4,8.9,10.6,0,0,0.1,0,0.4,0.1,0.5,93.5,0.1,1.5,2.5,0.7,0,0.5,0.2,0,65,9.8,45.1,6.5,20,22,10.3,11.6,5.3,0.8,0.8,40.7,,300745,4.8,6.1,0.2,8.7,65.4,10.5,0.5,3.6,0.1,0.9,1.8,14.9,2.3,1,8.3,1,11.4,8.3,10.9,0.9,8.7,7.6,22.1,147117,13799,6474,222723,163537,137696,3542,4755,733465,71699,74235,5836,5095,869,0,0,0,19478,5265,28305,0,0,0,,4.930980978,17606,7291,16196,8190,4288,3409,608266,69.84148382,8.227157198,21.89371098,0.037648003,3.8,538676,60008,23607,1155551,46.61637608,5.193020472,2.042921515
43,Homa Bay,HMA,260290,18.4,25.9,21.6,0.3,6.9,14.4,0.2,0.6,55.7,52.5,3.2,0.4,1.2,2,0,0,0,0.4,1.4,6.2,0.4,74.3,17,0.3,0,116773,34833,87.1,89.5,12.8,10.4,0.1,0.1,,262036,74,70.4,48.8,0.4,6.8,2,28.1,29.8,0.2,0.1,0.1,0.1,4.4,36.5,0.7,0.1,0.2,58.4,3.1,2.9,0.5,0.1,0,10.7,10.4,5.8,7.6,0,0,0.1,0,0.9,0.1,0.7,96.3,0.2,0.8,0.4,0.1,0,0.4,0.1,0,63,4.1,26.3,4.1,8.2,12.8,10.7,3.3,2.6,0.6,0.5,41.1,,262036,1.1,1.2,0.1,10.1,62,14.7,0.6,10.2,0,2.9,16.3,20.8,7.3,2.8,7.1,2.2,12.5,1,2,0.7,15.5,3,5.8,193812,15095,7236,318638,148374,179555,14046,4457,945303,44486,24168,3434,7258,3943,0,1365,2864,29880,7496,34557,0,1554,0,,5.440545194,16852,8388,17523,10329,4783,3708,533097,75.65021,5.04223434,19.29611309,0.01144257,4.3,594366,64995,26936,1131927,52.50921658,5.74197806,2.379658759
44,Migori,MIG,238133,23.3,31.8,26.6,0.3,9,17.3,0.2,0.8,44.9,41.3,3.6,0.7,2,1.5,0,0,0,0.6,1.3,6.8,0.5,71.3,19.2,0.3,0,119288,37118,87.3,90.7,12.5,9.2,0.1,0.1,,240168,70.8,66.9,47,0.4,2.8,1.2,39.1,20.1,0.1,0.1,0.2,0.1,4.9,34.8,0.6,0.1,0.2,56.8,3.9,4.5,0.8,0,0.1,2.7,8.9,4.8,16.8,0,0,0.3,0,2.5,0.2,0.9,94.1,0.2,1,0.5,0.1,0,0.4,0.1,0,59.8,4.2,28.1,3.9,9.1,11.5,13.2,3.6,2.9,0.6,0.4,37.5,,240168,0.5,1.7,0.2,10.3,62.2,15,0.6,9.4,0.1,2.4,7.3,31.2,9.5,6.6,11.1,4.4,8.1,1.2,1.5,1.3,10.4,2,3,169958,21062,8997,293261,70852,142204,5894,2922,913634,41179,17816,3856,3373,1818,0,0,3864,33338,4444,27231,0,1196,0,,3.702791381,11141,6065,11064,6372,3519,3177,511957,74.01070793,6.262635339,19.69852937,0.028127362,4.6,599512,48020,19723,1116401,53.70041768,4.301321837,1.766659113
45,Kisii,KSI,307254,39.3,37.1,34.1,0.4,13.6,20.1,0.1,0.7,23.6,20.5,3.1,0.4,1.2,0.4,0,0,0,0.8,2.2,13.5,0.5,77.8,5.1,0.2,0,114192,32057,92.7,95.2,7.3,4.8,0,0,,308054,71.4,67.3,48.3,0.3,0.3,1,38.1,28.8,0.2,0,0,0.1,4.3,27.8,0.7,0,0.1,60.3,3.7,2.9,0.5,0,0.1,1.8,6.3,2.9,21,0,0,0.2,0,1,0.1,0.9,95.3,0.1,0.5,1.6,0.2,0,0.3,0.1,0,58.5,5,30.7,5.1,8.8,3.5,7.8,3.1,3.4,0.6,0.3,58.7,,308054,1.9,2.1,0.3,11,59.6,23.7,0.5,0.9,0,0.3,0.2,38.6,40.5,7.5,3,0.9,1.1,1,1.1,0.6,3.8,0.5,1,219853,51458,4883,160517,11001,56946,1381,1421,936213,122621,26064,5030,4711,2999,0,67394,53580,88326,3850,17144,0,0,0,,4.32925857,13580,5663,16175,9636,5815,3975,653429,75.37498336,6.198531133,18.40995732,0.016528192,4.1,608564,79042,30470,1266822,48.03863526,6.239392748,2.405231358
46,Nyamira,NYI,150499,42.9,38.9,36.1,0.5,16.1,19.5,0.1,0.9,18.2,15.5,2.7,0.6,0.7,0.4,0,0,0,1.2,1.9,8.6,0.3,84.3,3.5,0.1,0,51480,14114,93.2,95.4,6.7,4.5,0.1,0.1,,150669,73,68.3,52.4,0.3,0.3,0.8,35.9,33.1,0.1,0,0.1,0.1,4.4,25.5,0.7,0,0.1,60.3,5.8,3.3,0.6,0.1,0.2,1.2,5.3,2.4,20.3,0,0,0.4,0,0.8,0.1,1,96.1,0.1,0.6,0.8,0.2,0,0.3,0.1,0,62.7,3.7,30.3,5.1,7.3,3.9,8.3,2,3.4,0.7,0.3,45.4,,150669,0.3,1.7,0.2,13.3,60.4,22.6,0.5,1,0.1,0.5,0.5,36.6,36.4,9.4,3.9,1.2,1,0.9,1,0.3,7.4,0.4,0.6,110028,34276,2735,82614,11787,39335,728,1341,478429,64429,10264,2925,4612,312,0,62706,25936,43349,2020,3502,0,0,0,,4.349506162,6554,2593,8296,4288,2755,1853,319952,76.16705006,5.694291644,18.12771916,0.010939141,4,283522,41291,16348,605563,46.81957121,6.818613423,2.699636537
47,Nairobi City,NBO,1494676,96.5,3.2,1.7,0.1,0.8,0.8,0,0,0.3,0.2,0.1,0.1,1.3,0,0,0,0.1,2.3,26.5,67.2,0.6,0.7,2.7,0,0.1,503983,135229,97,98.3,2.9,1.6,0,0,,1506888,2.1,1.1,1.5,0,0,0.2,6.2,0.1,0.6,0,1.4,0.4,25.4,62.5,3.2,0,0,1.6,1.1,0.8,0.1,0.2,0.3,26.3,40.3,26.2,2.5,0,0,0.4,0.1,0,0,0.1,51.3,0.1,2.5,39.4,4.5,0.1,1,0.8,0.1,53.4,22.7,68.7,7.5,42.1,12.5,4.3,23.5,12.9,1.2,0.4,69.1,,1506888,54.3,18.1,0.6,6.3,16.8,2.1,1.3,0.1,0.3,0,0.1,0,0.5,0,0.5,0,4.3,22.7,28.4,8.6,0.3,15.4,18.9,32258,11780,4923,12626,19109,28415,542,16412,354335,244733,248141,13036,2748,488,0,0,0,0,0,0,0,0,0,,1.281514765,18790,5343,14551,6712,5500,5450,2809721,63.92325074,14.82328672,21.20779964,0.045662897,2.9,1538589,88264,26410,4396828,34.9931587,2.007447187,0.600660294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.58979822,37.67442601,25.10625192,0.085723829,,,,,,63.15003113,9.929748806,4.867921695
